NodeName,ExploitName,Vulnerability,OS,Service,Process,SuccessRate,Target,AttackStage,SuccessPath,FailurePath
A,Nginx Exploit,Buffer overflows,None,None,Nginx,0.8,(1 0),Initial Compromise,C,B
B,Misconfigurations Exploit,misconfigurations,None,None,Nginx,0.7,(1 0),Initial Compromise,C,None
C,Privilege Escalation Exploit,privilege escalation,linux,None,None,0.6,(1 0),Data Exfiltration:0.7,E,D
D,Cross-Site Scripting (XSS) Exploit,Cross-Site Scripting (XSS),None,http,Apache,0.7,(2 1),Initial Compromise,G,E
E,Cross-Site Scripting (XSS) Exploit,Cross-Site Scripting (XSS),None,http,Apache,0.7,(2 0),Initial Compromise,G,F
F,Anonymous Access Exploit,anonymous access,None,None,ftp,0.6,(2 1),Initial Compromise Data Exfiltration:0.8,G,None
G,Sql Injection Exploit,Sql Injection,None,None,mysql,0.7,(4 0),Initial Compromise Data Exfiltration:0.6,I,H
H,Command Injection Exploit,command injection,None,smtp,Sendmail,0.8,(3 0),Initial Compromise Data Exfiltration:0.9,J,None
I,Privilege Escalation Exploit,privilege escalation,None,None,mysql,0.7,(4 0),Terminate Node:0.8,K,K
J,SSL/TLS vulnerabilities Exploit,SSL/TLS vulnerabilities,None,https,None,0.3,(4 0),Initial Compromise,L,None
K,Command Injection Exploit,command injection,None,smtp,Sendmail,0.8,(3 0),Initial Compromise Data Exfiltration:0.8,None,None
L,Command Injection Exploit,Command Injection,None,ftp,None,0.4,(4 0),Terminate Node:0.9,None,None
