Importance,Activities
5,Start CrawlProfessorAmirkabir StoreProfessorData ProfessorPresentation End
2,Start CrawlProfessorAmirkabir StoreProfessorData CrawlProfessorFromGoogleScholar StoreGoogleScholarData GoogleScholarPresentation End
5,Start CrawlProfessorAmirkabir StoreProfessorData CrawlProfessorFromScimet StoreScimetData ScimetPresentation End
2,Start CrawlProfessorSharif StoreProfessorData ProfessorPresentation End
5,Start CrawlProfessorSharif StoreProfessorData CrawlProfessorFromGoogleScholar StoreGoogleScholarData GoogleScholarPresentation End
2,Start CrawlProfessorSharif StoreProfessorData CrawlProfessorFromScimet StoreScimetData ScimetPresentation End
2,Start CrawlProfessorScienceAndTechnology StoreProfessorData ProfessorPresentation End
5,Start CrawlProfessorScienceAndTechnology StoreProfessorData CrawlProfessorFromGoogleScholar StoreGoogleScholarData GoogleScholarPresentation End
2,Start CrawlProfessorScienceAndTechnology StoreProfessorData CrawlProfessorFromScimet StoreScimetData ScimetPresentation End
2,Start Search ProcessingSearchData PresentationResult End
