Name,Resource
EmployeeCollectInternalPlaneData,PresentationServer
StoreInternalPlaneData,DataServer
PresentingInternalPlaneData,PresentationServer
SearchInInternalPlane,PresentationServer
ProcessingInternalPlaneSearch,DataServer
EmployeeCollectExternalPlaneData,PresentationServer
StoreExternalPlaneData,DataServer
PresentingExternalPlaneData,PresentationServer
SearchInExternalPlane,PresentationServer
ProcessingExternalPlaneSearch,DataServer
EmployeeCollectTrainData,PresentationServer
StoreTrainData,DataServer
PresentingTrainData,PresentationServer
SearchInTrain,PresentationServer
ProcessingTrainSearch,DataServer
EmployeeCollectBusData,PresentationServer
StoreBusData,DataServer
PresentingBusData,PresentationServer
SearchInBus,PresentationServer
ProcessingBusSearch,DataServer
PresentSignUpPage,PresentationServer
StoreSignUpData,UserServer
Authorization,UserServer
PresentUserPage,PresentationServer
PresentLoginPage,PresentationServer
Authentication,UserServer
SelectTicketPage,PresentationServer
CalculatePriceAndData,PurchaseServer
Purchase,PurchaseServer
PresentPurchaseResult,PresentationServer
